"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Jantaro N.; Badir Y.F.M.","Jantaro, Nonnaphan (58693534100); Badir, Yuosre F. M. (8270384300)","58693534100; 8270384300","The performance impact of digital technology adoption in procurement: A case study of the manufacturing industry in the Eastern Economic Corridor, Thailand","2024","Uncertain Supply Chain Management","12","1","","151","158","7","1","10.5267/j.uscm.2023.10.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176565936&doi=10.5267%2fj.uscm.2023.10.009&partnerID=40&md5=66480ffcd560983b1313d16bc381fb62","The procurement process is part of Purchase to pay (P2P) that consumes huge company costs. There are many procedures that need to be performed related to data. Without digital technology it might cause human error which will lead to issues in higher cost and will create a lot of delay in the procurement process. To improve procurement performance, selecting the right technologies that will create performance impact is quite a challenging task for the company. This study aims to examine the impact of digital technology adoption on procurement performance and to examine the mechanism through which digital technologies impact procurement performance. Target groups are medium and large manufacturing companies in the Eastern economic corridor, Thailand. In research findings, there is data supporting our hypotheses that digital technology adoption in procurement has a positive impact on procurement performance in cost and cycle time reduction. As a result of the moderation effect, reducing human errors, data availability and responsiveness moderated the positive impact between technology adoption and procurement cost reduction. The effect between technology adoption and procurement cycle time reduction has positively been mediated by reducing human errors and data availability. However, responsiveness rejected the hypothesis that mediates the relationship between technology adoption and procurement cycle time reduction. © 2024 by the authors; licensee Growing Science, Canada.","Digital technology adoption; Digital transformation; e-Procurement; Procurement","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85176565936"
"Wang K.-H.; Wen C.-P.; Long H.; Moldovan N.-C.","Wang, Kai-Hua (57195330274); Wen, Cui-Ping (58512012600); Long, Hai (57394491300); Moldovan, Nicoleta-Claudia (55885030500)","57195330274; 58512012600; 57394491300; 55885030500","Towards sustainable development: Exploring the spillover effects of green technology innovation on energy markets and economic cycles","2024","Technological Forecasting and Social Change","203","","123368","","","","0","10.1016/j.techfore.2024.123368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189659138&doi=10.1016%2fj.techfore.2024.123368&partnerID=40&md5=fde0ccf48e400a9f83bdbe76551dd7d5","With the proposal of sustainable development goals, the world has placed increasing emphasis on energy transition and green, low-carbon initiatives, leading to the emergence of green technology. This article explores the spillover effects among green technology innovation (GTI), oil prices (OP), clean energy (CE), sustainable development (SD), and economic cycles (EC) with the time-varying parameter vector autoregression (TVP-VAR) connectedness method. The empirical results demonstrate that, in static analysis, the short-term connectedness is significantly stronger than that in the long term. SD serves as the main transmitter, while EC acts as the primary receiver. Furthermore, dynamic analysis suggests that spillover effects fluctuate with time and frequency. Finally, the net direction and net pairwise connectedness reveal that GTI is favorable for mitigating OP shocks and accelerating EC in the long term, while it is driven by CE and SD in the short term. The contribution of this paper lies in its incorporation of GTI, energy markets, economic cycles, and SD into a unified framework, and its detailed analysis of the channels of influence. Also, based on a time-frequency domain perspective, the paper dynamically examines the different performances of specific markets in the short or long term. Finally, the paper proposes some policy recommendations, including the strengthening of green technology innovation and the acceleration of energy transition. © 2024","Energy market; Green technology innovation; Sustainable development; Time-frequency dynamics","Article","Final","","Scopus","2-s2.0-85189659138"
"Sterk F.; Stocker A.; Heinz D.; Weinhardt C.","Sterk, Felix (58177279200); Stocker, Alexander (24767000800); Heinz, Daniel (57312187100); Weinhardt, Christof (6604021298)","58177279200; 24767000800; 57312187100; 6604021298","Unlocking the value from car data: A taxonomy and archetypes of connected car business models","2024","Electronic Markets","34","1","13","","","","0","10.1007/s12525-024-00692-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185135564&doi=10.1007%2fs12525-024-00692-5&partnerID=40&md5=659e31264e9ff1d2eca0bffb0d4768ea","The automotive industry is relocating from viewing cars as standalone products to an all-encompassing ecosystem built around connected cars enabling data-driven business models. The vastly increasing amount of data collected by connected cars grants a unique driving experience for its users while providing companies operating in the automotive industry access to valuable information and, ultimately, cost and revenue benefits. In this article, we develop an empirically and theoretically grounded taxonomy of data-driven business models in the connected car domain to explore the impact of car connectivity and data availability on business models. Building on this, we conduct a cluster analysis revealing seven business model archetypes for the connected car domain: data platforms, location-based services, fleet management, diagnostics and maintenance, driving analytics, cyber-physical protection, and connected infotainment. Our findings advance the theoretical knowledge of data-driven business models, provide researchers with a systematic analysis of connected car-enabled business models, and enable decision-makers to identify strategic opportunities for leveraging connected car technology to enrich their business portfolios. © The Author(s) 2024.","Archetypes; Business models; Cluster analysis; Connected cars; Data monetization; L8; O3; Taxonomy","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85185135564"
"Kim B.-J.; Kim M.-J.","Kim, Byung-Jik (57202494592); Kim, Min-Jik (57217049954)","57202494592; 57217049954","The influence of work overload on cybersecurity behavior: A moderated mediation model of psychological contract breach, burnout, and self-efficacy in AI learning such as ChatGPT","2024","Technology in Society","77","","102543","","","","0","10.1016/j.techsoc.2024.102543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189514189&doi=10.1016%2fj.techsoc.2024.102543&partnerID=40&md5=5f6d542d04a673c698989c0d2459ad78","In today's rapidly evolving digital landscape, organizations face the critical challenge of safeguarding their sensitive information and systems from an ever-increasing array of cybersecurity threats. As employees play a crucial role in maintaining organizational cybersecurity, it is essential to understand the factors that influence their cybersecurity behavior. This study investigates the impact of work overload on employee cybersecurity behavior, exploring the sequential mediating effects of psychological contract breach and burnout, as well as the moderating role of self-efficacy in AI learning. Drawing upon the Job Demands-Resources (JD-R) model, Conservation of Resources (COR) theory, and Social Cognitive Theory, we propose a moderated mediation model to elucidate the complex relationships among these variables. To test our hypotheses, we conducted a three-wave survey study involving 363 employees from various sectors in South Korea. Data was collected using an internet-based survey platform, and the study employed stratified random sampling to reduce sampling bias. Results from structural equation modeling (SEM) analyses revealed that work overload indirectly impacts cybersecurity behavior through the sequential mediation of psychological contract breach and burnout. Furthermore, self-efficacy in AI learning such as ChatGPT was found to moderate the relationship between work overload and psychological contract breach, acting as a buffer to mitigate the negative effects of work overload. This study contributes to the existing literature by addressing several research gaps. First, it provides a comprehensive examination of the impact of work overload on employee cybersecurity behavior. Second, it investigates the underlying psychological processes (i.e., psychological contract breach and burnout) that explain the relationship between work overload and cybersecurity behavior. Third, it explores the moderating role of self-efficacy in AI learning such as ChatGPT, an understudied factor in the context of work overload and cybersecurity behavior. © 2024","Burnout; Cybersecurity behavior; Psychological contract breach; Self-efficacy in artificial intelligence learning; Work overload","Article","Final","","Scopus","2-s2.0-85189514189"
"Idroes G.M.; Hardi I.; Hilal I.S.; Utami R.T.; Noviandy T.R.; Idroes R.","Idroes, Ghalieb Mutig (58698923400); Hardi, Irsan (58956808700); Hilal, Iin Shabrina (57842354200); Utami, Resty Tamara (58236869200); Noviandy, Teuku Rizky (57215579311); Idroes, Rinaldi (57192873366)","58698923400; 58956808700; 57842354200; 58236869200; 57215579311; 57192873366","Economic growth and environmental impact: Assessing the role of geothermal energy in developing and developed countries","2024","Innovation and Green Development","3","3","100144","","","","0","10.1016/j.igd.2024.100144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188694291&doi=10.1016%2fj.igd.2024.100144&partnerID=40&md5=ccd03f7f65f6a60ab82c919d5ba1443d","Geothermal energy is both a clean and sustainable energy source that contributes to economic growth (GDP) and environmentally friendly, as it releases much less harmful greenhouse gas (GHG) emissions than fossil fuels. This study presents a novel perspective by examining the dynamic impact of geothermal energy on GDP and GHG emissions in both developing and developed countries from 2000 to 2019. By employing Autoregressive Distributed Lag (ARDL) estimations, our study demonstrates a negative impact of geothermal energy on short-run GDP but also proves to be a positive contributor to long-run GDP, particularly in developed countries. Additionally, our study unveils a noteworthy discovery that geothermal energy has a positive effect on GHG levels in both country groups over the long run, although the coefficient is lower in developed countries. These findings are robust and confirmed through Fully Modified Ordinary Least Squares (FMOLS) and Dynamic Ordinary Least Squares (DOLS) techniques. The ARDL findings are justified by the Dumitrescu Hurlin (D-H) causality model, indicating the existence of unidirectional causality from GHG emissions to geothermal energy. Based on this empirical evidence, we suggest policymakers support geothermal energy projects through streamlined processes, incentives, and ongoing policy reviews for environmental sustainability and economic growth. © 2024 The Author(s)","ARDL; Economic growth; Geothermal energy; Greenhouse gas emissions; Panel causality","Article","Final","","Scopus","2-s2.0-85188694291"
"Piccoli G.; Grover V.; Rodriguez J.","Piccoli, Gabriele (56185495400); Grover, Varun (7006625568); Rodriguez, Joaquin (56493664400)","56185495400; 7006625568; 56493664400","Digital transformation requires digital resource primacy: Clarification and future research directions","2024","Journal of Strategic Information Systems","33","2","101835","","","","0","10.1016/j.jsis.2024.101835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189654405&doi=10.1016%2fj.jsis.2024.101835&partnerID=40&md5=70bf088b2efb7db7e9f2c7f08517cd57","Responding to recent calls, this essay offers a commentary on the framing and definition of organizational digital transformation. We focus on the unique ontology of digital transformation and delineate it from neighboring concepts. Our contention is that, despite its volume, current research remains unclear about how the digital transformation of organizations differs from their IT-enabled transformation. We advocate definitional precision to foster knowledge accumulation and to enable scholars to pursue important research questions that are unique to digital transformation. Our perspective, grounded in the notion of digital resources, defines digital transformation as the metamorphosis of an IT-enabled organization into a digital organization – one with a specific digital architecture and design principles. A key departure from previous conceptualization is that we characterize digital transformation as a change in digital technology architecture rather than a change from digital technology use. Our paper achieves the following: describes the constructs underpinning this formulation, digital resources and digital organization; justifies their use; and describes what research directions the new perspective promotes. With sound definitions of key constructs, Information Systems scholars have the unprecedented opportunity to lead the way in digital “x” research, making our discipline the reference point for the burgeoning “digital research” literature in related business fields. © 2024 The Authors","Digital ontology; Digital organization; Digital resources; Digital transformation; IT-enabled transformation","Article","Final","","Scopus","2-s2.0-85189654405"
"Giannakidou S.; Radoglou-Grammatikis P.; Lagkas T.; Argyriou V.; Goudos S.; Markakis E.K.; Sarigiannidis P.","Giannakidou, Sofia (57960162700); Radoglou-Grammatikis, Panagiotis (57195135180); Lagkas, Thomas (6507945237); Argyriou, Vasileios (13806485100); Goudos, Sotirios (55949432800); Markakis, Evangelos K. (7006033121); Sarigiannidis, Panagiotis (12445587500)","57960162700; 57195135180; 6507945237; 13806485100; 55949432800; 7006033121; 12445587500","Leveraging the power of internet of things and artificial intelligence in forest fire prevention, detection, and restoration: A comprehensive survey","2024","Internet of Things (Netherlands)","26","","101171","","","","0","10.1016/j.iot.2024.101171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188945975&doi=10.1016%2fj.iot.2024.101171&partnerID=40&md5=17a2e5f08cbae96c63dfae92b027907a","Forest fires are a persistent global problem, causing devastating consequences such as loss of human lives, harm to the environment, and substantial economic losses. To mitigate these impacts, the accurate prediction and early detection of forest fires is critical. In response to this challenge and living in the digital era of Artificial Intelligence (AI) and smart economies, there has been a growing interest in utilising AI mechanisms for forest fire management. This study provides an in-depth examination of the use of AI algorithms in the fight against forest fires. In particular, our paper starts with an overview of the forest fire problem, followed by a comprehensive review of various systems and approaches. This review includes a thorough analysis of the various works that have evaluated the factors that influence fire occurrence and severity, as well as those that focus on fire prediction and detection systems. The paper also explores the use of AI in adapting and restoring after the occurrence of forest fires. The paper concludes with an evaluation of the potential impact of AI on forest fire management and suggestions for future research directions, taking full advantage of novel technologies, such as 5G communications, Software Defined Networking (SDN), digital twins, federated learning and blockchain. Finally, the paper draws lessons and insights on the potential and limitations of AI in forest fire management, highlighting the need for further research and development in this field to maximise its impact and benefits. © 2024 The Author(s)","Artificial intelligence; Climate change; Forest fires; Fuzzy logic; Internet of things; Resource allocation; Wildfires","Review","Final","","Scopus","2-s2.0-85188945975"
"Blanco-González-Tejero C.; Cano-Marin E.; Ulrich K.; Giralt-Escobar S.","Blanco-González-Tejero, Cristina (57807598300); Cano-Marin, Enrique (57958318800); Ulrich, Klaus (57221942136); Giralt-Escobar, Silvia (57196299861)","57807598300; 57958318800; 57221942136; 57196299861","Leveraging blockchain for industry funding: A social media analysis","2024","Sustainable Technology and Entrepreneurship","3","3","100071","","","","0","10.1016/j.stae.2024.100071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182557394&doi=10.1016%2fj.stae.2024.100071&partnerID=40&md5=24227dfdc234ec238528e40380bd5aac","The progress in industrial and corporate blockchain technology, particularly the pioneering fintech financing methods rooted in blockchain like Initial Coin Offerings (ICOs) and Security Token Offerings (STOs), has the potential to disrupt across industries. These innovations offer creative solutions to address longstanding challenges. However, the novelty of these concepts has given rise to issues related to information asymmetry among investors, exacerbated by the opinions shared on social media platforms. To comprehensively analyse the trends of these technologies and their societal impact, as well as their influence on the contemporary business landscape, we conducted a study in the social platforms X (formerly known as Twitter) analysing 59,453 tweets using natural language processing (NLP). Through this research, we have identified key topics such as investment security or corporate challenges that provide valuable insights and structured information essential for industry stakeholders. In summary, this study explores the dynamic interplay between blockchain technology, ICOs, STOs and social media in the industry. It sheds light on the sentiment and implications of the use of this technology and these emerging financial models, offering a nuanced understanding of their impact on the market. Thus, the idea that user opinions play a crucial role in influencing decisions is supported, and their impact can fluctuate depending on the changing dynamics of the market. © 2024","Blockchain; ICOs; Social media analysis; STOs; Technology","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182557394"
"Zarco C.; Giráldez-Cru J.; Cordón O.; Liébana-Cabanillas F.","Zarco, Carmen (6603433182); Giráldez-Cru, Jesús (55217652300); Cordón, Oscar (7003424903); Liébana-Cabanillas, Francisco (55151541700)","6603433182; 55217652300; 7003424903; 55151541700","A comprehensive view of biometric payment in retailing: A complete study from user to expert","2024","Journal of Retailing and Consumer Services","79","","103789","","","","0","10.1016/j.jretconser.2024.103789","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188543803&doi=10.1016%2fj.jretconser.2024.103789&partnerID=40&md5=8c0a867f1f3c485d72cd9cbc59d56102","The new financial and commercial scenario driven by technological advances has undergone a rapid reconfiguration in the recent years. Innovation has generated new payment alternatives that are transforming the concept of money and payment habits among consumers. One of the most novel payment systems nowadays is known as biometric payment. Improved payment systems will improve retailing and consumer services. The aim of this study is to develop an analysis of biometric payment based on two complementary studies. In the first one, the variables predicting the intention to use this technology are determined on a sample of 1905 potential users by means of different feature selection methodologies from artificial intelligence in a holistic model that integrates the principles of the UTAUT2 model, the General Risk Theory, and the Trust Theory. In the second study, two panels of Fintech industry experts compare these results. The overall insights obtained show that perceived risk, trust, and social influence are the variables that, from the experts’ experience, users consider most important when employing this technology. This research provides useful information for financial and business decision-makers in companies interested in commercializing this type of technology. © 2024 The Author(s)","Artificial intelligence; Biometric payment; Consumer behavior; Expert interviews; Feature selection","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188543803"
"Pathak A.A.; Kaushik K.","Pathak, Atul Arun (56602338400); Kaushik, Kapil (57189899676)","56602338400; 57189899676","Driving consumer engagement for digital payment brands: Content strategy on instagram","2024","Journal of Retailing and Consumer Services","79","","103821","","","","0","10.1016/j.jretconser.2024.103821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189093368&doi=10.1016%2fj.jretconser.2024.103821&partnerID=40&md5=5e193640dc7b2fe24e663db895a68541","The purpose of this two-part mixed-methods based study is to understand the effect of content characteristics of brand-posted social media content on consumer engagement in the recently emerged and rapidly growing unified payments interface (UPI) based digital payments sector in India. The Study 1 uses Instagram data collected using the Apify tool, an Instagram Scraper, for four leading UPI brands in India over eight months. Linear regression was performed on the dataset with likes as the dependent variable and content vividness, content appeal, and content interactivity as the independent variables. The qualitative Study 2, based on semi structured interviews of Instagram users who make UPI payments, corroborates Study 1, and provides a richer, more nuanced understanding of the phenomenon. For UPI brands, we found that entertaining and remunerative appeals are more effective than other content appeals in generating likes on Instagram. This research does not find a positive effect of relational appeal over information appeal on the number of likes, indicating that content with relational appeal is not very effective for UPI brands. Further, this study suggests interesting findings about the role of interactivity and vividness in driving consumer engagement on social media platforms. This study is among the first to focus on increasing consumer engagement with brand-posted social media content in the context of the nascent, high-potential, and rapidly growing UPI-based digital payments sector in India. © 2024 Elsevier Ltd","Content engagement; Digital payments; Message appeal; Social media; Vividness","Article","Final","","Scopus","2-s2.0-85189093368"
